time,current_response_time_percentile_50,current_response_time_percentile_95,current_response_time_average,current_max_response_time,current_min_response_time,current_fail_per_sec,fail_ratio,total_rps,user_count,avg_response_time,current_rps,max_response_time,median_response_time,min_response_time,num_failures,num_requests,custom_cpu_redis-cart,custom_monitored_count_redis-cart,custom_kubernetes_redis-cart_ordered,custom_kubernetes_redis-cart_ready,elapsed,elapsed_min
1619153775.1872473,1300.0,5600.0,2335,6600,43,0.0,0.09201424559961646,120.7,1000,1476.1993513436453,120.7,8598.0,1300.0,10.0,2687,29202,10.001956077782518,1,1,1,315.2792012691498,5.254653354485829
1619153777.7463858,1400.0,6700.0,3094,7300,41,0.0,0.09061783353568056,120.8,1000,1510.0583791032443,120.8,8598.0,1300.0,10.0,2687,29652,10.001956077782518,1,1,1,317.838339805603,5.297305663426717
1619153781.8526113,2600.0,6800.0,3542,7500,41,0.0,0.09303412809724171,115.3,1000,1534.5725140522586,115.3,8598.0,1300.0,10.0,2786,29946,10.001956077782518,1,1,1,321.9445652961731,5.365742754936218
1619153783.5295777,3100.0,6900.0,3578,8100,41,7.4,0.10035771717370615,117.3,1000,1564.8594730608268,117.3,8598.0,1400.0,10.0,3058,30471,10.001956077782518,1,1,1,323.6215317249298,5.393692195415497
1619153785.8056796,3100.0,6900.0,3578,8100,41,7.4,0.10035771717370615,117.3,1000,1564.8594730608268,117.3,8598.0,1400.0,10.0,3058,30471,10.001956077782518,1,1,1,325.89763355255127,5.431627225875855
1619153787.459215,2900.0,6900.0,3284,8100,180,37.1,0.09895479403294179,136.8,1000,1579.5927541347032,136.8,8598.0,1400.0,10.0,3058,30903,10.001956077782518,1,1,1,327.5511689186096,5.459186148643494
1619153788.9992218,2900.0,6900.0,3284,8100,180,37.1,0.09895479403294179,136.8,1000,1579.5927541347032,136.8,8598.0,1400.0,10.0,3058,30903,10.001956077782518,1,1,1,329.09117579460144,5.484852929910024
1619153790.1368706,2800.0,5000.0,2836,8100,190,37.1,0.09727391290517542,136.8,1000,1606.5856940167962,136.8,8598.0,1400.0,10.0,3058,31437,10.001956077782518,1,1,1,330.2288246154785,5.503813743591309
1619153792.4728549,2800.0,5000.0,2836,8100,190,37.1,0.09727391290517542,136.8,1000,1606.5856940167962,136.8,8598.0,1400.0,10.0,3058,31437,6.130884974868028,1,1,1,332.56480884552,5.542746814092
1619153794.1876428,3400.0,5100.0,3012,6900,140,0.0,0.09535986029686916,125.7,1000,1632.2358023303887,125.7,8598.0,1400.0,10.0,3058,32068,6.130884974868028,1,1,1,334.2795968055725,5.5713266134262085
1619153796.131888,3400.0,5100.0,3012,6900,140,0.0,0.09535986029686916,125.7,1000,1632.2358023303887,125.7,8598.0,1400.0,10.0,3058,32068,6.130884974868028,1,1,1,336.2238419055939,5.603730698426564
1619153798.1179912,2000.0,4800.0,2422,6500,140,16.0,0.09834264261514514,152.7,1000,1635.5098117238085,152.7,8598.0,1400.0,10.0,3222,32763,6.130884974868028,1,1,1,338.2099452018738,5.636832420031229
1619153800.4739592,2000.0,4800.0,2422,6500,140,16.0,0.09834264261514514,152.7,1000,1635.5098117238085,152.7,8598.0,1400.0,10.0,3222,32763,5.9431991267446636,1,1,1,340.5659132003784,5.67609855333964
1619153802.2552626,1500.0,4200.0,1828,5100,140,16.4,0.09665516724163792,160.0,1000,1633.0249828593091,160.0,8598.0,1400.0,10.0,3222,33335,5.9431991267446636,1,1,1,342.34721660614014,5.705786943435669
1619153804.024339,1400.0,3500.0,1674,5100,300,16.4,0.09578452940127237,157.9,1000,1634.6511183011103,157.9,8598.0,1400.0,10.0,3222,33638,5.9431991267446636,1,1,1,344.1162929534912,5.735271549224853
1619153806.186515,1400.0,3500.0,1674,5100,300,16.4,0.09578452940127237,157.9,1000,1634.6511183011103,157.9,8598.0,1400.0,10.0,3222,33638,5.9431991267446636,1,1,1,346.27846908569336,5.771307818094889
1619153808.1733534,1600.0,3200.0,1777,4000,500,0.4,0.09395777440802519,149.4,1000,1639.2613804034047,149.4,8598.0,1400.0,10.0,3222,34292,5.9431991267446636,1,1,1,348.26530742645264,5.804421790440878
1619153810.107722,1600.0,3200.0,1777,4000,500,0.4,0.09395777440802519,149.4,1000,1639.2613804034047,149.4,8598.0,1400.0,10.0,3222,34292,5.9431991267446636,1,1,1,350.1996760368347,5.836661267280578
1619153812.0703666,1800.0,3200.0,1867,4200,77,0.0,0.09230769230769231,153.2,1000,1643.319084996414,153.2,8598.0,1500.0,10.0,3222,34905,5.9431991267446636,1,1,1,352.1623206138611,5.869372010231018
1619153814.1998723,1800.0,3200.0,1867,4200,77,0.0,0.09230769230769231,153.2,1000,1643.319084996414,153.2,8598.0,1500.0,10.0,3222,34905,5.9431991267446636,1,1,1,354.29182624816895,5.904863770802816
1619153816.4525886,1800.0,2700.0,1785,4200,77,0.0,0.09067116926973406,159.4,1000,1644.3134435009201,159.4,8598.0,1500.0,10.0,3222,35535,5.9431991267446636,1,1,1,356.54454255104065,5.942409042517344
1619153818.961371,1800.0,2700.0,1785,4200,77,0.0,0.09067116926973406,159.4,1000,1644.3134435009201,159.4,8598.0,1500.0,10.0,3222,35535,5.9431991267446636,1,1,1,359.05332493782043,5.984222082297007
1619153820.3331513,1700.0,2700.0,1787,4200,130,0.0,0.08903996020560438,150.7,1000,1647.6079071502866,150.7,8598.0,1500.0,10.0,3222,36186,6.515843099831461,1,1,1,360.42510533332825,6.007085088888804
1619153822.107395,1700.0,2700.0,1787,4200,130,0.0,0.08903996020560438,150.7,1000,1647.6079071502866,150.7,8598.0,1500.0,10.0,3222,36186,6.515843099831461,1,1,1,362.1993489265442,6.036655815442403
1619153824.2113695,1600.0,2500.0,1490,3900,24,0.0,0.08768301311707397,163.0,500,1638.2650906585907,163.0,8598.0,1500.0,10.0,3222,36746,6.515843099831461,1,1,1,364.30332350730896,6.0717220584551495
1619153826.1376016,1600.0,2500.0,1490,3900,24,0.0,0.08768301311707397,163.0,500,1638.2650906585907,163.0,8598.0,1500.0,10.0,3222,36746,6.515843099831461,1,1,1,366.22955560684204,6.103825926780701
1619153828.0045419,850.0,2300.0,936,3900,21,0.0,0.08669213797556907,146.9,500,1621.5266922074793,146.9,8598.0,1500.0,10.0,3222,37166,6.515843099831461,1,1,1,368.0964958667755,6.134941597779592
1619153830.0683057,850.0,2300.0,936,3900,21,0.0,0.08669213797556907,146.9,500,1621.5266922074793,146.9,8598.0,1500.0,10.0,3222,37166,5.811619145497732,1,1,1,370.16025972366333,6.169337662061055
1619153832.0425162,120.0,650.0,191,2000,15,0.0,0.08568009573195054,121.9,500,1604.11683480831,121.9,8598.0,1500.0,10.0,3222,37605,5.811619145497732,1,1,1,372.1344702243805,6.202241170406341
1619153833.94864,120.0,650.0,191,2000,15,0.0,0.08568009573195054,121.9,500,1604.11683480831,121.9,8598.0,1500.0,10.0,3222,37605,5.811619145497732,1,1,1,374.04059410095215,6.234009901682536
1619153835.9797032,110.0,500.0,162,930,15,0.0,0.08474487112046292,106.6,500,1588.8065510543836,106.6,8598.0,1400.0,10.0,3222,38020,5.811619145497732,1,1,1,376.07165718078613,6.267860953013102
1619153838.031774,110.0,500.0,162,930,15,0.0,0.08474487112046292,106.6,500,1588.8065510543836,106.6,8598.0,1400.0,10.0,3222,38020,5.811619145497732,1,1,1,378.1237280368805,6.3020621339480085
1619153840.090338,130.0,810.0,235,1400,14,0.0,0.0838145778055252,95.7,500,1574.805558319042,95.7,8598.0,1400.0,10.0,3222,38442,5.860542836421534,1,1,1,380.1822919845581,6.336371533075968
1619153841.973501,130.0,810.0,235,1400,14,0.0,0.0838145778055252,95.7,500,1574.805558319042,95.7,8598.0,1400.0,10.0,3222,38442,5.860542836421534,1,1,1,382.0654549598694,6.36775758266449
1619153844.0665936,110.0,810.0,223,1400,14,0.0,0.08289808835258702,106.7,500,1558.750675696855,106.7,8598.0,1400.0,10.0,3222,38867,5.860542836421534,1,1,1,384.1585476398468,6.402642460664113
1619153845.9892352,110.0,810.0,223,1400,14,0.0,0.08289808835258702,106.7,500,1558.750675696855,106.7,8598.0,1400.0,10.0,3222,38867,5.860542836421534,1,1,1,386.0811891555786,6.43468648592631
